Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"TITANOBEL (TITANOBEL)","421251836","","20.51Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","RUE DE L'INDUSTRIE 21270 PONTAILLER-SUR-SAONE","21270","21","27","21","36","2023",62187530
"EUROVIA BOURGOGNE FRANCHE - COMTE (EUROVIA BFC)","348899295","","42.11Z","Construction","Construction","134 AVENUE DE LA GARE 21220 GEVREY-CHAMBERTIN","21220","21","27","NN","37","2024",148640407
"SAS PAGOT ET SAVOIE","421159211","","46.73A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","9 RUE GAY LUSSAC 21300 CHENOVE","21300","21","27","22","29","2024",110480727
"ENTREPRISE ROGER MARTIN","391338449","","42.11Z","Construction","Construction","PARC TECHNOLOGIQUE 4 AVENUE JEAN BERTIN 21000 DIJON","21000","21","27","NN","25","2024",122625878
"BOISSET - LA FAMILLE DES GRANDS VINS (ALEX GAMBAL LE PERE LA GROLLE - GRANDE NUIT)","515420305","","46.34Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","13 RUE LAVOISIER 21700 NUITS-SAINT-GEORGES","21700","21","27","21","28","2024",174370491
"EST BOURGOGNE MEDIA","533857355","","58.13Z","Information and communication","Communication: Media and Publishing","7 BOULEVARD CHANOINE KIR 21000 DIJON","21000","21","27","21","23","2024",41750432
"INEO INDUSTRIE & TERTIAIRE EST (INEO ITE)","409868114","","43.21A","Construction","Construction","63 AVENUE DE TAVAUX 21800 CHEVIGNY-SAINT-SAUVEUR","21800","21","27","NN","44","2024",106831732
"S.N.C.T.P","017050667","","42.22Z","Construction","Construction","Z.I.N. 10 RUE DOCTEUR QUIGNARD 21000 DIJON","21000","21","27","31","34","2024",77472958
"INEO RESEAUX NORD EST","381287101","","42.22Z","Construction","Construction","21 AVENUE FRANCOISE GIROUD 21000 DIJON","21000","21","27","NN","19","2025",56822615
"SOCIETE ANONYME D'HABITATIONS A LOYER MODERE HABELLIS","015450638","","68.20A","Real estate activities","Real Estate","28 BOULEVARD GEORGES CLEMENCEAU 21000 DIJON","21000","21","27","21","9","2017",43492992
"ATOL CONSEILS ET DEVELOPPEMENTS","429715378","","62.02B","Information and communication","Information Technology and Services","RUE DES TERRES D OR 21220 GEVREY CHAMBERTIN","21220","21","27","22","15","2024",24468448
"SAVOYE","334170990","","71.12B","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","CEDEX 1 RUE HENRY DARCY 21600 LONGVIC","21600","21","27","NN","15","2023",159332148
"ENTREPRISE HUBERT ROUGEOT MEURSAULT","516020138","","42.11Z","Construction","Construction","RD 23 CHAMP LAIN 21190 TAILLY","21190","21","27","22","15","2024",81059000
