Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"HOWDEN SOLYVENT-VENTEC (HOWDEN SOLYVENT-VENTEC)","327657631","","28.25Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","143 RUE DE LA REPUBLIQUE 69330 MEYZIEU","69330","69","84","22","30","2023",48290489
"KEOLIS LYON","308077635","","49.31Z","Transportation and storage","Transportation and Storage","19 BOULEVARD MARIUS VIVIER-MERLE 69003 LYON","69003","69","84","51","6","2024",522921953
"XPO LOGISTICS OUEST FRANCE (XPO OUEST FR)","311686703","","52.29B","Transportation and storage","Transportation and Storage","192 AVENUE THIERS 69006 LYON","69006","69","84","NN","18","2024",54711933
"SOLUTEC (AUBAY - SOLUTEC)","381345941","","62.02A","Information and communication","Information Technology and Services","10 RUE JOANNES CARRET 69009 LYON","69009","69","84","NN","22","2024",112245960
"DCS EASYWARE","797080397","","62.03Z","Information and communication","Information Technology and Services","LE BRITANNIA A 20 BOULEVARD EUGENE DERUELLE 69003 LYON","69003","69","84","32","23","2024",52171997
"DELAWARE CONSULTING","515285047","","62.02A","Information and communication","Information Technology and Services","IMMEUBLE L ECHO 55 AVENUE PAUL KRUGER 69100 VILLEURBANNE","69100","69","84","22","9","2024",81389019
"LUSTUCRU FRAIS","957507536","","10.73Z","Manufacturing","Manufacturing: Food, Beverages and Tobacco","37 B RUE ST ROMAIN 69008 LYON 8EME","69008","69","84","22","8","2022",178922000
"SOGEDESCA","965507684","","70.22Z","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","10 RUE GENERAL PLESSIER 69002 LYON","69002","69","84","32","8","2024",66625295
"EIFFAGE ENERGIE SYSTEMES - IT RHONE ALPES (EES - IT RA)","378499644","","43.21A","Construction","Construction","10 BOULEVARD MARCEL DASSAULT 69330 JONAGE","69330","69","84","21","36","2024",51578750
"ISDEL ENERGY (OMEXOM)","490281243","","43.21A","Construction","Construction","220 RUE FERDINAND PERRIER 69800 SAINT-PRIEST","69800","69","84","22","10","2024",54793888
"DEMATHIEU BARD BATIMENT SUD-EST","409714474","","41.20B","Construction","Construction","16 RUE DU 8 MAI 1945 69100 VILLEURBANNE","69100","69","84","22","8","2024",110006329
"BLEDINA (LABORATOIRE GALLIA) (BSA)","301374922","","10.51A","Manufacturing","Manufacturing: Food, Beverages and Tobacco","81 RUE SANS SOUCI 69760 LIMONEST","69760","69","84","41","9","2025",661227950
"COEXYA","433624707","","62.02A","Information and communication","Information Technology and Services","9 AV CHARLES DE GAULLE 69370 SAINT-DIDIER-AU-MONT-D OR","69370","69","84","32","11","2024",94112525
"TESSI DOCUMENTS SERVICES CENTRE DE RELATIONS CLIENTS","813438249","","82.20Z","Administrative and support service activities","Administrative and Support","BATIMENT B 13 RUE PIERRE GILLES DE GENNES 69007 LYON","69007","69","84","31","8","2024",23613746
"POLYTECHNYL","815232848","","20.16Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","AVENUE ALBERT RAMBOZ 69190 SAINT-FONS","69190","69","84","22","10","2024",605241098
"XPO LOGISTICS ILE DE FRANCE (XPO IDF FR)","425090966","","52.29B","Transportation and storage","Transportation and Storage","192 AVENUE THIERS 69006 LYON","69006","69","84","NN","10","2024",73049933
"GL EVENTS LIVE","378932354","","82.30Z","Administrative and support service activities","Administrative and Support","59 QUAI RAMBAUD 69002 LYON","69002","69","84","21","52","2024",237303296
"SOLVAY OPERATIONS FRANCE","414574053","","20.13B","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","IMMEUBLE SILEX 2 SOLVAY 9 RUE DES CUIRASSIERS 69003 LYON","69003","69","84","NN","9","2024",216835362
