Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"STMICROELECTRONICS (GRENOBLE 2) SAS","504941337","","72.19Z","Professional, scientific and technical activities","Professional: Research and Development","12 RUE JULES HOROWITZ 38000 GRENOBLE","38000","38","84","42","2","2024",336962606
"OPMOBILITY C-POWER ALPHATECH","519512495","","71.12B","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","19 BOULEVARD JULES CARTERET 69007 LYON","69007","69","84","NN","2","2024",62315719
"BIOSE INDUSTRIE","529243271","","21.10Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","RUE DES FRERES LUMIERE 15130 ARPAJON-SUR-CERE","15130","15","84","NN","3","2024",35393249
"ABYLSEN ST-RA","481277911","","71.12B","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","92 COURS VITTON 69006 LYON","69006","69","84","32","4","2024",54375971
"LIGIER GROUP (MICROCAR)","712000272","","29.10Z","Manufacturing","Manufacturing: Transport Equipment","105 ROUTE D'HAUTERIVE 03200 ABREST","03200","03","84","32","7","2024",169811642
"ATELIERS MECANIQUES INDUSTRIES SPECIALES (AMIS)","745780387","","25.50A","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","10 RUE JACQUES ALEXANDRE DUCHET 03100 MONTLUCON","03100","03","84","32","2","2024",36634497
"BOLLHOFF OTALU","747220309","","25.94Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","Z.I. DE L ALBANNE RTE D’APREMONT 73490 LA RAVOIRE","73490","73","84","32","4","2024",118100676
"AVERY DENNISON MATERIALS FRANCE","781596754","","17.12Z","Manufacturing","Manufacturing: Wood, Paper and Printing","ZONE INDUSTRIELLE 38560 CHAMP-SUR-DRAC","38560","38","84","32","8","2024",60520099
"EUROFINS BIOMNIS (EUROFINS BIOMNIS)","493519904","","86.90B","Human health and social work activities","Human Health and Social Work","17-19 17 AVENUE TONY GARNIER 69007 LYON","69007","69","84","32","5","2024",175409761
"MAFELEC","794110445","","27.33Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","471 ROUTE DE LA CUISINIERE 38490 CHIMILIN","38490","38","84","32","2","2024",55402109
"ECHIROLLES DISTRIBUTION","493150239","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZAC RUE DE COMBOIRE 38130 ECHIROLLES","38130","38","84","32","3","2023",158229683
